API_Name,Field Path,Present in SAAS,Present in Legacy,Type in SAAS,Type in Legacy,Notes,Team Comments
assignment-extension,code,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
assignment-extension,message,No,Yes,,array of object,Field only exists in Legacy - potentially deprecated or moved,
assignment-extension,message[0],No,Yes,,object,Field only exists in Legacy - potentially deprecated or moved,
assignment-extension,message[0].assignment_pk,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
assignment-extension,message[0].assignment_title,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
assignment-extension,message[0].comment,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
assignment-extension,message[0].extension_date,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
assignment-extension,message[0].extension_duration,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
assignment-extension,message[0].extension_id,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
assignment-extension,missing,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
assignment-extension,status,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
course-activity-detail,activityScoreDist,Yes,No,array of object,,Field only exists in SAAS - new feature or additional data,
course-activity-detail,activityScoreDist[0],Yes,No,object,,Field only exists in SAAS - new feature or additional data,
course-activity-detail,activityScoreDist[0].activityDesc,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
course-activity-detail,activityScoreDist[0].count,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
course-activity-detail,activityScoreDist[0].percent,Yes,No,float,,Field only exists in SAAS - new feature or additional data,
course-activity-detail,activityScoreTrend,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
course-activity-detail,avgGrade,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
course-activity-detail,courseActivityScore,Yes,No,array of object,,Field only exists in SAAS - new feature or additional data,
course-activity-detail,courseActivityScoreAvg,Yes,No,array of object,,Field only exists in SAAS - new feature or additional data,
