Field Path,Present in SAAS,Present in Legacy,Type in SAAS,Type in Legacy,Notes,Team Comments
code,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message,No,Yes,,array of object,Field only exists in Legacy - potentially deprecated or moved,
message[0],No,Yes,,object,Field only exists in Legacy - potentially deprecated or moved,
message[0].assignment_pk,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message[0].assignment_title,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message[0].comment,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message[0].extension_date,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message[0].extension_duration,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message[0].extension_id,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
missing,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
status,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
