Field Path,Present in SAAS,Present in Legacy,Type in SAAS,Type in Legacy,Notes,Team Comments
activityScoreDist,Yes,No,array of object,,Field only exists in SAAS - new feature or additional data,
activityScoreDist[0],Yes,No,object,,Field only exists in SAAS - new feature or additional data,
activityScoreDist[0].activityDesc,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
activityScoreDist[0].count,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
activityScoreDist[0].percent,Yes,No,float,,Field only exists in SAAS - new feature or additional data,
activityScoreTrend,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
avgGrade,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
courseActivityScore,Yes,No,array of object,,Field only exists in SAAS - new feature or additional data,
courseActivityScoreAvg,Yes,No,array of object,,Field only exists in SAAS - new feature or additional data,
courseActivityScoreAvg[0],Yes,No,object,,Field only exists in SAAS - new feature or additional data,
courseActivityScoreAvg[0].activityScore,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
courseActivityScoreAvg[0].week,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
courseActivityScore[0],Yes,No,object,,Field only exists in SAAS - new feature or additional data,
courseActivityScore[0].activityScore,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
courseActivityScore[0].week,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
courseName,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
courseSections,Yes,No,array of object,,Field only exists in SAAS - new feature or additional data,
courseSections[0],Yes,No,object,,Field only exists in SAAS - new feature or additional data,
courseSections[0].average,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
courseSections[0].averageGrade,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
courseSections[0].comparison,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
courseSections[0].droppedCount,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
courseSections[0].level,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
courseSections[0].priority,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
courseSections[0].sectionId,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
courseSections[0].sectionName,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
courseSections[0].studentCount,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
courseSections[0].trend,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
courseTitle,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
facultyComparison,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
missing,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
priorityFlagCount,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
sectionCount,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
sectionCountAll,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
studentCount,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
