Field Path,Present in SAAS,Present in Legacy,Type in SAAS,Type in Legacy,Notes,Team Comments
[0],Yes,No,object,,Field only exists in SAAS - new feature or additional data,
[0].activityScore,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].activityScoreTrend,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
[0].courseName,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].facultyComparison,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].sectionCount,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
code,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message,No,Yes,,array of object,Field only exists in Legacy - potentially deprecated or moved,
message[0],No,Yes,,object,Field only exists in Legacy - potentially deprecated or moved,
message[0].activityScore,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message[0].activityScoreTrend,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message[0].courseName,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message[0].facultyComparison,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message[0].sectionCount,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
status,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
