Field Path,Present in SAAS,Present in Legacy,Type in SAAS,Type in Legacy,Notes,Team Comments
[0],Yes,No,object,,Field only exists in SAAS - new feature or additional data,
[0].assignmentPk,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
[0].attemptPk,Yes,No,,,Field only exists in SAAS - new feature or additional data,
[0].discussionId,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
[0].discussionTitle,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].discussionlink,Yes,No,,,Field only exists in SAAS - new feature or additional data,
[0].escalated,Yes,No,boolean,,Field only exists in SAAS - new feature or additional data,
[0].escalationReason,Yes,No,,,Field only exists in SAAS - new feature or additional data,
[0].group,Yes,No,,,Field only exists in SAAS - new feature or additional data,
[0].isHidden,Yes,No,boolean,,Field only exists in SAAS - new feature or additional data,
[0].replyId,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
[0].studentHash,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].submittedDate,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
code,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message,No,Yes,,array of object,Field only exists in Legacy - potentially deprecated or moved,
message[0],No,Yes,,object,Field only exists in Legacy - potentially deprecated or moved,
message[0].assignmentPk,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message[0].attemptPk,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message[0].courseId,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message[0].coursePk,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message[0].discussionId,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message[0].discussionLink,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message[0].discussionTitle,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message[0].employeeId,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message[0].escalated,No,Yes,,boolean,Field only exists in Legacy - potentially deprecated or moved,
message[0].escalationReason,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message[0].group,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message[0].reply_id,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message[0].submittedDate,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
status,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
