Field Path,Present in SAAS,Present in Legacy,Type in SAAS,Type in Legacy,Notes,Team Comments
ACC100,Yes,No,object,,Field only exists in SAAS - new feature or additional data,
ACC100.assignments,Yes,No,array of object,,Field only exists in SAAS - new feature or additional data,
ACC100.assignments[0],Yes,No,object,,Field only exists in SAAS - new feature or additional data,
ACC100.assignments[0].assignmentId,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
ACC100.assignments[0].assignmentTitle,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
ACC100.assignments[0].dueDate,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
ACC100.assignments[0].overdueCount,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
ACC100.assignments[0].points,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
ACC100.sectionCount,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
ACC556,Yes,No,object,,Field only exists in SAAS - new feature or additional data,
ACC556.assignments,Yes,No,array of object,,Field only exists in SAAS - new feature or additional data,
ACC556.assignments[0],Yes,No,object,,Field only exists in SAAS - new feature or additional data,
ACC556.assignments[0].assignmentId,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
ACC556.assignments[0].assignmentTitle,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
ACC556.assignments[0].dueDate,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
ACC556.assignments[0].overdueCount,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
ACC556.assignments[0].points,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
ACC556.sectionCount,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
code,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message,No,Yes,,object,Field only exists in Legacy - potentially deprecated or moved,
message.BUS380,No,Yes,,object,Field only exists in Legacy - potentially deprecated or moved,
message.BUS380.assignments,No,Yes,,array of object,Field only exists in Legacy - potentially deprecated or moved,
message.BUS380.assignments[0],No,Yes,,object,Field only exists in Legacy - potentially deprecated or moved,
message.BUS380.assignments[0].assignmentId,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.BUS380.assignments[0].assignmentTitle,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.BUS380.assignments[0].dueDate,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.BUS380.assignments[0].overdueCount,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message.BUS380.assignments[0].points,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message.BUS380.sectionCount,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message.BUS435,No,Yes,,object,Field only exists in Legacy - potentially deprecated or moved,
message.BUS435.assignments,No,Yes,,array of object,Field only exists in Legacy - potentially deprecated or moved,
message.BUS435.assignments[0],No,Yes,,object,Field only exists in Legacy - potentially deprecated or moved,
message.BUS435.assignments[0].assignmentId,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.BUS435.assignments[0].assignmentTitle,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.BUS435.assignments[0].dueDate,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.BUS435.assignments[0].overdueCount,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message.BUS435.assignments[0].points,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message.BUS435.sectionCount,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message.BUS437,No,Yes,,object,Field only exists in Legacy - potentially deprecated or moved,
message.BUS437.assignments,No,Yes,,array of object,Field only exists in Legacy - potentially deprecated or moved,
message.BUS437.assignments[0],No,Yes,,object,Field only exists in Legacy - potentially deprecated or moved,
message.BUS437.assignments[0].assignmentId,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.BUS437.assignments[0].assignmentTitle,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.BUS437.assignments[0].dueDate,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.BUS437.assignments[0].overdueCount,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message.BUS437.assignments[0].points,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message.BUS437.sectionCount,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
status,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
