Field Path,Present in SAAS,Present in Legacy,Type in SAAS,Type in Legacy,Notes,Team Comments
code,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
errorDescription,Yes,No,,,Field only exists in SAAS - new feature or additional data,
fileKey,Yes,No,,,Field only exists in SAAS - new feature or additional data,
message,No,Yes,,object,Field only exists in Legacy - potentially deprecated or moved,
message.errorCode,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message.errorString,No,Yes,,,Field only exists in Legacy - potentially deprecated or moved,
message.response,No,Yes,,object,Field only exists in Legacy - potentially deprecated or moved,
message.response.errorDescription,No,Yes,,,Field only exists in Legacy - potentially deprecated or moved,
message.response.fileKey,No,Yes,,,Field only exists in Legacy - potentially deprecated or moved,
message.response.requestDate,No,Yes,,,Field only exists in Legacy - potentially deprecated or moved,
message.response.requestId,No,Yes,,,Field only exists in Legacy - potentially deprecated or moved,
message.response.status,No,Yes,,,Field only exists in Legacy - potentially deprecated or moved,
message.status,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
requestDate,Yes,No,,,Field only exists in SAAS - new feature or additional data,
requestId,Yes,No,,,Field only exists in SAAS - new feature or additional data,
status,Yes,Yes,,string,"Type mismatch: SAAS has null, Legacy has string",
