Field Path,Present in SAAS,Present in Legacy,Type in SAAS,Type in Legacy,Notes,Team Comments
Missing,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
generalProperties,Yes,No,object,,Field only exists in SAAS - new feature or additional data,
generalProperties.adaAlertText,Yes,No,object,,Field only exists in SAAS - new feature or additional data,
generalProperties.adaAlertText.addExtensionForm,Yes,No,boolean,,Field only exists in SAAS - new feature or additional data,
generalProperties.adaAlertText.overviewTab,Yes,No,boolean,,Field only exists in SAAS - new feature or additional data,
generalProperties.adaEmail,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
generalProperties.createCaseUrl,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
generalProperties.emailTrainingLink,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
generalProperties.exportCsv,Yes,No,boolean,,Field only exists in SAAS - new feature or additional data,
generalProperties.showLetterGrade,Yes,No,boolean,,Field only exists in SAAS - new feature or additional data,
generalProperties.smsTrainingLink,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
generalProperties.terms,Yes,No,object,,Field only exists in SAAS - new feature or additional data,
generalProperties.terms.accommodation,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
generalProperties.terms.accommodationAbv,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
generalProperties.terms.student,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
generalProperties.timezone,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
generalProperties.timezoneIdentifier,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
generalProperties.trainingLink,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
nav,Yes,No,array of object,,Field only exists in SAAS - new feature or additional data,
nav[0],Yes,No,object,,Field only exists in SAAS - new feature or additional data,
nav[0].conditional,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
nav[0].count,Yes,No,,,Field only exists in SAAS - new feature or additional data,
nav[0].cssClass,Yes,No,,,Field only exists in SAAS - new feature or additional data,
nav[0].link,Yes,No,,,Field only exists in SAAS - new feature or additional data,
nav[0].name,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
nav[0].page,Yes,No,array of object,,Field only exists in SAAS - new feature or additional data,
nav[0].page[0],Yes,No,object,,Field only exists in SAAS - new feature or additional data,
nav[0].page[0].name,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
nav[0].page[0].route,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
nav[0].title,Yes,No,,,Field only exists in SAAS - new feature or additional data,
outreachCategories,Yes,No,array of object,,Field only exists in SAAS - new feature or additional data,
outreachCategories[0],Yes,No,object,,Field only exists in SAAS - new feature or additional data,
