Field Path,Present in SAAS,Present in Legacy,Type in SAAS,Type in Legacy,Notes,Team Comments
code,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message,No,Yes,,object,Field only exists in Legacy - potentially deprecated or moved,
message.objects,No,Yes,,array of object,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0],No,Yes,,object,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].accessControlId,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].adminTags,No,Yes,,,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].capabilities,No,Yes,,string (empty),Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].categories,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].categoriesIds,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].conversionProfileId,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].conversionQuality,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].createdAt,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].creatorId,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].creditUrl,No,Yes,,string (empty),Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].creditUserName,No,Yes,,string (empty),Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].dataUrl,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].description,No,Yes,,,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].displayInSearch,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].downloadUrl,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].duration,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].durationType,No,Yes,,,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].endDate,No,Yes,,,Field only exists in Legacy - potentially deprecated or moved,
