Field Path,Present in SAAS,Present in Legacy,Type in SAAS,Type in Legacy,Notes,Team Comments
[0],Yes,No,object,,Field only exists in SAAS - new feature or additional data,
[0].category,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].content,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].isDefault,Yes,No,boolean,,Field only exists in SAAS - new feature or additional data,
[0].rowCreatedTime,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].rowModifiedTime,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].subject,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].template,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].templateId,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
[0].templateType,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].title,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
code,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message,No,Yes,,array of object,Field only exists in Legacy - potentially deprecated or moved,
message[0],No,Yes,,object,Field only exists in Legacy - potentially deprecated or moved,
message[0].CATEGORY,No,Yes,,,Field only exists in Legacy - potentially deprecated or moved,
message[0].CONTENT,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message[0].FACULTY_ID,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message[0].ID,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message[0].IS_DEFAULT,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message[0].ROW_CREATED_TIME,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message[0].ROW_MODIFIED_TIME,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message[0].SUBJECT,No,Yes,,,Field only exists in Legacy - potentially deprecated or moved,
message[0].TEMPLATE,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message[0].TEMPLATE_TYPE,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message[0].TITLE,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message[0].VIDEO_ID,No,Yes,,,Field only exists in Legacy - potentially deprecated or moved,
status,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
