Field Path,Present in SAAS,Present in Legacy,Type in SAAS,Type in Legacy,Notes,Team Comments
[0],Yes,No,object,,Field only exists in SAAS - new feature or additional data,
[0].assignmentPk,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
[0].attempts,Yes,No,array of object,,Field only exists in SAAS - new feature or additional data,
[0].attempts[0],Yes,No,object,,Field only exists in SAAS - new feature or additional data,
[0].attempts[0].assignmentLink,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].attempts[0].assignmentTitle,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].attempts[0].attemptOrder,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
[0].attempts[0].attemptPk,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
[0].attempts[0].escalated,Yes,No,,,Field only exists in SAAS - new feature or additional data,
[0].attempts[0].escalationReason,Yes,No,,,Field only exists in SAAS - new feature or additional data,
[0].attempts[0].gradeDetailsUrl,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].attempts[0].status,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].attempts[0].submittedDate,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].gradeGroup,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].is10x,Yes,No,boolean,,Field only exists in SAAS - new feature or additional data,
[0].previousGrade,Yes,No,,,Field only exists in SAAS - new feature or additional data,
[0].studentHash,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
code,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message,No,Yes,,object,Field only exists in Legacy - potentially deprecated or moved,
message.assignments,No,Yes,,array of object,Field only exists in Legacy - potentially deprecated or moved,
message.assignments[0],No,Yes,,object,Field only exists in Legacy - potentially deprecated or moved,
message.assignments[0].assignmentPk,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.assignments[0].attempts,No,Yes,,array of object,Field only exists in Legacy - potentially deprecated or moved,
message.assignments[0].attempts[0],No,Yes,,object,Field only exists in Legacy - potentially deprecated or moved,
message.assignments[0].attempts[0].assignmentLink,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.assignments[0].attempts[0].assignmentTitle,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.assignments[0].attempts[0].attemptOrder,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message.assignments[0].attempts[0].attemptPk,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.assignments[0].attempts[0].gradeDetailsUrl,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.assignments[0].attempts[0].submittedDate,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.assignments[0].coursePk,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.assignments[0].employeeId,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.assignments[0].escalated,No,Yes,,boolean,Field only exists in Legacy - potentially deprecated or moved,
message.assignments[0].escalationReason,No,Yes,,,Field only exists in Legacy - potentially deprecated or moved,
message.assignments[0].group,No,Yes,,,Field only exists in Legacy - potentially deprecated or moved,
message.assignments[0].is10x,No,Yes,,boolean,Field only exists in Legacy - potentially deprecated or moved,
message.assignments[0].learnerPk,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.assignments[0].previousGrade,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
status,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
