Field Path,Present in SAAS,Present in Legacy,Type in SAAS,Type in Legacy,Notes,Team Comments
[0],Yes,No,object,,Field only exists in SAAS - new feature or additional data,
[0].courseSisId,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].final,Yes,No,boolean,,Field only exists in SAAS - new feature or additional data,
[0].gradingScale,Yes,No,array of object,,Field only exists in SAAS - new feature or additional data,
[0].gradingScale[0],Yes,No,object,,Field only exists in SAAS - new feature or additional data,
[0].gradingScale[0].calculated_value,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
[0].gradingScale[0].name,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].gradingScale[0].value,Yes,No,float,,Field only exists in SAAS - new feature or additional data,
[0].midterm,Yes,No,boolean,,Field only exists in SAAS - new feature or additional data,
missing,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
