Field Path,Present in SAAS,Present in Legacy,Type in SAAS,Type in Legacy,Notes,Team Comments
code,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
learnerGrades,Yes,No,array of object,,Field only exists in SAAS - new feature or additional data,
learnerGrades[0],Yes,No,object,,Field only exists in SAAS - new feature or additional data,
learnerGrades[0].gradeLetter,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
learnerGrades[0].needsGrading,Yes,No,boolean,,Field only exists in SAAS - new feature or additional data,
learnerGrades[0].studentHash,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
learnerGrades[0].submitted,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
learnerGrades[0].totalPoints,Yes,No,float,,Field only exists in SAAS - new feature or additional data,
learnerGrades[0].totalSubmissions,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
message,No,Yes,,object,Field only exists in Legacy - potentially deprecated or moved,
message.gradeDetails,No,Yes,,array of object,Field only exists in Legacy - potentially deprecated or moved,
message.gradeDetails[0],No,Yes,,object,Field only exists in Legacy - potentially deprecated or moved,
message.gradeDetails[0].employeeId,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.gradeDetails[0].gradeLetter,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.gradeDetails[0].needsGrading,No,Yes,,boolean,Field only exists in Legacy - potentially deprecated or moved,
message.gradeDetails[0].submitted,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message.gradeDetails[0].totalPoints,No,Yes,,float,Field only exists in Legacy - potentially deprecated or moved,
message.gradeDetails[0].totalSubmissions,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message.status,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.submittedBy,No,Yes,,,Field only exists in Legacy - potentially deprecated or moved,
message.submittedDt,No,Yes,,,Field only exists in Legacy - potentially deprecated or moved,
status,Yes,Yes,string,string,String values differ between systems,
submittedBy,Yes,No,,,Field only exists in SAAS - new feature or additional data,
submittedDt,Yes,No,,,Field only exists in SAAS - new feature or additional data,
